
  Obs     fid  year  month  ICES_txt  gear  yield   cpue  fishjulday  fishweek  tripdur
-----  ------  ----  -----  --------  ----  -----  -----  ----------  --------  -------
    1  DK0012  2025      3  41F3      OTB     4.2  2.333          60         9     0.25
    2  DK0013  2025      3  41F3      OTB     3.9  2.167          61         9     0.25
    3  DK0014  2025      4  42F4      OTB     5.6  3.111          95        14     0.25
    4  DK0015  2025      4  42F4      OTB     5.1  2.833         102        15     0.25
    5  DK0016  2025      5  43F5      OTB     7.2  2.571         123        18      0.5
    6  DK0017  2025      5  43F5      OTB     4.3  2.389         135        20     0.25
    7  DK0018  2025      6  44F6      OTB     8.9  3.448         153        22     0.25
    8  DK0019  2025      6  44F6      OTB     8.1  3.138         169        25     0.25
    9  DK0020  2025     11  41F3      OTB     3.2   1.78         309        45     0.25

